Periode;Wilayah;Kecamatan;Nama Puskesmas;Poli;Baru;Lama;Total Kunjungan
Agustus;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;BATRA;2;5;7
Agustus;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;GIGI;59;282;341
Agustus;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;GIZI;0;1;1
Agustus;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;INSTALASI GAWAT DARURAT;1;0;1
Agustus;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;KIA;142;568;710
Agustus;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;LABORATORIUM;;;0
Agustus;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;LANSIA;;;0
Agustus;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;MATA;;;0
Agustus;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;PKPR;;;0
Agustus;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Poli PCR-SWAB;;;0
Agustus;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;PSIKOLOGI;2;11;13
Agustus;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;PTRM;;;0
Agustus;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;RAWAT INAP;;;0
Agustus;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;SANITASI;;;0
Agustus;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;STD;;;0
Agustus;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;TBC/PARU;;;0
Agustus;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;UMUM;195;1747;1942
Agustus;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;VCT;;;0
Agustus;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;BATRA;4;63;67
Agustus;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;GIGI;42;206;248
Agustus;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;GIZI;0;3;3
Agustus;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;INSTALASI GAWAT DARURAT;;;0
Agustus;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;KIA;77;204;281
Agustus;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;LABORATORIUM;;;0
Agustus;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;LANSIA;11;254;265
