Periode;Wilayah;Kecamatan;Nama Puskesmas;Poli;Baru;Lama;Total Kunjungan
April;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;BATRA;0;4;4
April;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;GIGI;20;183;203
April;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;GIZI;;;0
April;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;INSTALASI GAWAT DARURAT;;;0
April;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;KIA;101;434;535
April;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;LABORATORIUM;;;0
April;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;LANSIA;;;0
April;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;MATA;;;0
April;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;PKPR;;;0
April;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Poli PCR-SWAB;;;0
April;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;PSIKOLOGI;0;3;3
April;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;PTRM;;;0
April;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;RAWAT INAP;;;0
April;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;SANITASI;;;0
April;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;STD;;;0
April;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;TBC/PARU;;;0
April;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;UMUM;112;1301;1413
April;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;VCT;;;0
April;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;BATRA;1;24;25
April;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;GIGI;18;103;121
April;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;GIZI;0;4;4
April;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;INSTALASI GAWAT DARURAT;;;0
April;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;KIA;39;173;212
April;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;LABORATORIUM;;;0
April;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;LANSIA;9;177;186
April;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;MATA;;;0
April;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;PKPR;;;0
April;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Poli PCR-SWAB;;;0
April;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;PSIKOLOGI;0;1;1
April;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;PTRM;;;0
April;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;RAWAT INAP;;;0
April;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;SANITASI;;;0
April;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;STD;;;0
April;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;TBC/PARU;;;0
April;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;UMUM;117;453;570
April;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;VCT;;;0
April;Surabaya Barat;Tandes;Puskesmas Balongsari;BATRA;1;19;20
April;Surabaya Barat;Tandes;Puskesmas Balongsari;GIGI;27;197;224
April;Surabaya Barat;Tandes;Puskesmas Balongsari;GIZI;0;1;1
April;Surabaya Barat;Tandes;Puskesmas Balongsari;INSTALASI GAWAT DARURAT;20;5;25
April;Surabaya Barat;Tandes;Puskesmas Balongsari;KIA;91;387;478
April;Surabaya Barat;Tandes;Puskesmas Balongsari;LABORATORIUM;;;0
April;Surabaya Barat;Tandes;Puskesmas Balongsari;LANSIA;8;357;365
April;Surabaya Barat;Tandes;Puskesmas Balongsari;MATA;;;0
April;Surabaya Barat;Tandes;Puskesmas Balongsari;PKPR;;;0
April;Surabaya Barat;Tandes;Puskesmas Balongsari;Poli PCR-SWAB;;;0
April;Surabaya Barat;Tandes;Puskesmas Balongsari;PSIKOLOGI;20;63;83
April;Surabaya Barat;Tandes;Puskesmas Balongsari;PTRM;;;0
April;Surabaya Barat;Tandes;Puskesmas Balongsari;RAWAT INAP;1;12;13
April;Surabaya Barat;Tandes;Puskesmas Balongsari;SANITASI;;;0
April;Surabaya Barat;Tandes;Puskesmas Balongsari;STD;;;0
April;Surabaya Barat;Tandes;Puskesmas Balongsari;TBC/PARU;1;65;66
April;Surabaya Barat;Tandes;Puskesmas Balongsari;UMUM;183;862;1045
April;Surabaya Barat;Tandes;Puskesmas Balongsari;VCT;;;0
April;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;BATRA;1;18;19
April;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;GIGI;15;155;170
April;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;GIZI;;;0
April;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;INSTALASI GAWAT DARURAT;;;0
April;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;KIA;41;319;360
April;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;LABORATORIUM;;;0
April;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;LANSIA;5;157;162
April;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;MATA;;;0
April;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;PKPR;;;0
April;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Poli PCR-SWAB;;;0
April;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;PSIKOLOGI;4;7;11
April;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;PTRM;;;0
April;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;RAWAT INAP;;;0
April;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;SANITASI;;;0
April;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;STD;;;0
April;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;TBC/PARU;;;0
April;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;UMUM;62;715;777
April;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;VCT;;;0
April;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;BATRA;1;3;4
April;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;GIGI;31;223;254
April;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;GIZI;;;0
April;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;INSTALASI GAWAT DARURAT;1;4;5
April;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;KIA;81;455;536
April;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;LABORATORIUM;;;0
April;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;LANSIA;1;56;57
April;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;MATA;;;0
April;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;PKPR;51;37;88
April;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Poli PCR-SWAB;;;0
April;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;PSIKOLOGI;1;3;4
April;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;PTRM;;;0
April;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;RAWAT INAP;0;6;6
April;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;SANITASI;;;0
April;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;STD;;;0
April;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;TBC/PARU;37;269;306
April;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;UMUM;285;1853;2138
April;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;VCT;;;0
April;Surabaya Barat;Pakal;Puskesmas Benowo;BATRA;0;1;1
April;Surabaya Barat;Pakal;Puskesmas Benowo;GIGI;35;317;352
April;Surabaya Barat;Pakal;Puskesmas Benowo;GIZI;2;22;24
April;Surabaya Barat;Pakal;Puskesmas Benowo;INSTALASI GAWAT DARURAT;;;0
April;Surabaya Barat;Pakal;Puskesmas Benowo;KIA;102;657;759
April;Surabaya Barat;Pakal;Puskesmas Benowo;LABORATORIUM;;;0
April;Surabaya Barat;Pakal;Puskesmas Benowo;LANSIA;18;431;449
April;Surabaya Barat;Pakal;Puskesmas Benowo;MATA;;;0
April;Surabaya Barat;Pakal;Puskesmas Benowo;PKPR;;;0
April;Surabaya Barat;Pakal;Puskesmas Benowo;Poli PCR-SWAB;;;0
April;Surabaya Barat;Pakal;Puskesmas Benowo;PSIKOLOGI;1;7;8
April;Surabaya Barat;Pakal;Puskesmas Benowo;PTRM;;;0
April;Surabaya Barat;Pakal;Puskesmas Benowo;RAWAT INAP;;;0
April;Surabaya Barat;Pakal;Puskesmas Benowo;SANITASI;;;0
April;Surabaya Barat;Pakal;Puskesmas Benowo;STD;;;0
April;Surabaya Barat;Pakal;Puskesmas Benowo;TBC/PARU;;;0
April;Surabaya Barat;Pakal;Puskesmas Benowo;UMUM;142;1418;1560
April;Surabaya Barat;Pakal;Puskesmas Benowo;VCT;;;0
April;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;BATRA;1;13;14
April;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;GIGI;48;216;264
April;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;GIZI;6;19;25
April;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;INSTALASI GAWAT DARURAT;;;0
April;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;KIA;101;360;461
April;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;LABORATORIUM;;;0
April;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;LANSIA;6;146;152
April;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;MATA;;;0
April;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;PKPR;;;0
April;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Poli PCR-SWAB;;;0
April;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;PSIKOLOGI;0;7;7
April;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;PTRM;;;0
April;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;RAWAT INAP;;;0
April;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;SANITASI;;;0
