Periode;Wilayah;Kecamatan;Nama Puskesmas;Poli;Baru;Lama;Total Kunjungan
Februari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;BATRA;1;2;3
Februari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;GIGI;20;121;141
Februari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;GIZI;;;0
Februari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;INSTALASI GAWAT DARURAT;;;0
Februari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;KIA;106;385;491
Februari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;LABORATORIUM;;;0
Februari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;LANSIA;;;0
Februari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;MATA;;;0
Februari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;PKPR;;;0
Februari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Poli PCR-SWAB;;;0
Februari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;PSIKOLOGI;0;7;7
Februari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;PTRM;;;0
Februari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;RAWAT INAP;;;0
Februari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;SANITASI;;;0
Februari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;STD;;;0
Februari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;TBC/PARU;;;0
Februari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;UMUM;149;1243;1392
Februari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;VCT;;;0
Februari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;BATRA;0;13;13
Februari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;GIGI;9;101;110
Februari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;GIZI;;;0
Februari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;INSTALASI GAWAT DARURAT;;;0
Februari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;KIA;29;142;171
Februari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;LABORATORIUM;;;0
Februari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;LANSIA;6;218;224
Februari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;MATA;;;0
Februari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;PKPR;;;0
Februari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Poli PCR-SWAB;;;0
Februari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;PSIKOLOGI;0;1;1
Februari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;PTRM;;;0
Februari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;RAWAT INAP;;;0
Februari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;SANITASI;;;0
Februari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;STD;;;0
Februari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;TBC/PARU;;;0
Februari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;UMUM;161;595;756
Februari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;VCT;;;0
Februari;Surabaya Barat;Tandes;Puskesmas Balongsari;BATRA;0;24;24
Februari;Surabaya Barat;Tandes;Puskesmas Balongsari;GIGI;24;182;206
Februari;Surabaya Barat;Tandes;Puskesmas Balongsari;GIZI;;;0
Februari;Surabaya Barat;Tandes;Puskesmas Balongsari;INSTALASI GAWAT DARURAT;1;4;5
Februari;Surabaya Barat;Tandes;Puskesmas Balongsari;KIA;79;341;420
Februari;Surabaya Barat;Tandes;Puskesmas Balongsari;LABORATORIUM;;;0
Februari;Surabaya Barat;Tandes;Puskesmas Balongsari;LANSIA;14;379;393
Februari;Surabaya Barat;Tandes;Puskesmas Balongsari;MATA;;;0
Februari;Surabaya Barat;Tandes;Puskesmas Balongsari;PKPR;;;0
Februari;Surabaya Barat;Tandes;Puskesmas Balongsari;Poli PCR-SWAB;;;0
Februari;Surabaya Barat;Tandes;Puskesmas Balongsari;PSIKOLOGI;1;3;4
Februari;Surabaya Barat;Tandes;Puskesmas Balongsari;PTRM;;;0
Februari;Surabaya Barat;Tandes;Puskesmas Balongsari;RAWAT INAP;1;5;6
Februari;Surabaya Barat;Tandes;Puskesmas Balongsari;SANITASI;;;0
Februari;Surabaya Barat;Tandes;Puskesmas Balongsari;STD;;;0
Februari;Surabaya Barat;Tandes;Puskesmas Balongsari;TBC/PARU;2;63;65
Februari;Surabaya Barat;Tandes;Puskesmas Balongsari;UMUM;196;832;1028
Februari;Surabaya Barat;Tandes;Puskesmas Balongsari;VCT;;;0
Februari;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;BATRA;1;8;9
Februari;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;GIGI;15;271;286
Februari;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;GIZI;0;1;1
Februari;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;INSTALASI GAWAT DARURAT;;;0
Februari;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;KIA;36;261;297
Februari;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;LABORATORIUM;;;0
Februari;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;LANSIA;7;169;176
Februari;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;MATA;;;0
Februari;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;PKPR;;;0
Februari;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Poli PCR-SWAB;;;0
Februari;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;PSIKOLOGI;;;0
Februari;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;PTRM;;;0
Februari;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;RAWAT INAP;;;0
Februari;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;SANITASI;;;0
Februari;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;STD;;;0
Februari;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;TBC/PARU;;;0
Februari;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;UMUM;104;1029;1133
Februari;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;VCT;;;0
Februari;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;BATRA;;;0
Februari;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;GIGI;26;111;137
Februari;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;GIZI;;;0
Februari;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;INSTALASI GAWAT DARURAT;5;15;20
Februari;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;KIA;128;717;845
Februari;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;LABORATORIUM;;;0
Februari;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;LANSIA;22;409;431
Februari;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;MATA;;;0
Februari;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;PKPR;42;20;62
Februari;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Poli PCR-SWAB;;;0
Februari;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;PSIKOLOGI;;;0
Februari;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;PTRM;;;0
Februari;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;RAWAT INAP;0;3;3
Februari;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;SANITASI;;;0
Februari;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;STD;;;0
Februari;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;TBC/PARU;9;200;209
Februari;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;UMUM;299;1423;1722
Februari;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;VCT;;;0
Februari;Surabaya Barat;Pakal;Puskesmas Benowo;BATRA;;;0
Februari;Surabaya Barat;Pakal;Puskesmas Benowo;GIGI;44;306;350
Februari;Surabaya Barat;Pakal;Puskesmas Benowo;GIZI;13;35;48
Februari;Surabaya Barat;Pakal;Puskesmas Benowo;INSTALASI GAWAT DARURAT;;;0
Februari;Surabaya Barat;Pakal;Puskesmas Benowo;KIA;99;646;745
Februari;Surabaya Barat;Pakal;Puskesmas Benowo;LABORATORIUM;;;0
Februari;Surabaya Barat;Pakal;Puskesmas Benowo;LANSIA;14;434;448
Februari;Surabaya Barat;Pakal;Puskesmas Benowo;MATA;;;0
Februari;Surabaya Barat;Pakal;Puskesmas Benowo;PKPR;;;0
