Periode;Wilayah;Kecamatan;Nama Puskesmas;Poli;Baru;Lama;Total Kunjungan
Januari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;BATRA;0;2;2
Januari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;GIGI;40;158;198
Januari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;GIZI;0;1;1
Januari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;INSTALASI GAWAT DARURAT;;;0
Januari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;KIA;151;444;595
Januari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;LABORATORIUM;;;0
Januari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;LANSIA;;;0
Januari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;MATA;;;0
Januari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;PKPR;;;0
Januari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Poli PCR-SWAB;;;0
Januari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;PSIKOLOGI;1;7;8
Januari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;PTRM;;;0
Januari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;RAWAT INAP;;;0
Januari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;SANITASI;;;0
Januari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;STD;;;0
Januari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;TBC/PARU;;;0
Januari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;UMUM;200;1626;1826
Januari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;VCT;;;0
Januari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;BATRA;1;9;10
Januari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;GIGI;21;136;157
Januari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;GIZI;0;3;3
Januari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;INSTALASI GAWAT DARURAT;;;0
Januari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;KIA;42;183;225
Januari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;LABORATORIUM;;;0
Januari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;LANSIA;12;201;213
Januari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;MATA;;;0
Januari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;PKPR;;;0
Januari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Poli PCR-SWAB;;;0
Januari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;PSIKOLOGI;1;1;2
Januari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;PTRM;;;0
Januari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;RAWAT INAP;;;0
Januari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;SANITASI;;;0
Januari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;STD;;;0
