Periode;Wilayah;Kecamatan;Nama Puskesmas;Poli;Baru;Lama;Total Kunjungan
Juli;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;BATRA;6;3;9
Juli;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;GIGI;51;252;303
Juli;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;GIZI;0;3;3
Juli;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;INSTALASI GAWAT DARURAT;;;0
Juli;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;KIA;111;452;563
Juli;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;LABORATORIUM;;;0
Juli;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;LANSIA;;;0
Juli;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;MATA;;;0
Juli;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;PKPR;;;0
Juli;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Poli PCR-SWAB;;;0
Juli;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;PSIKOLOGI;1;7;8
Juli;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;PTRM;;;0
Juli;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;RAWAT INAP;;;0
Juli;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;SANITASI;0;1;1
Juli;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;STD;;;0
Juli;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;TBC/PARU;;;0
Juli;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;UMUM;183;1493;1676
Juli;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;VCT;;;0
Juli;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;BATRA;5;36;41
Juli;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;GIGI;50;198;248
Juli;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;GIZI;0;6;6
Juli;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;INSTALASI GAWAT DARURAT;;;0
Juli;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;KIA;41;184;225
Juli;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;LABORATORIUM;0;2;2
Juli;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;LANSIA;10;232;242
Juli;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;MATA;;;0
Juli;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;PKPR;;;0
Juli;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Poli PCR-SWAB;;;0
Juli;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;PSIKOLOGI;0;5;5
Juli;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;PTRM;;;0
Juli;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;RAWAT INAP;;;0
Juli;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;SANITASI;;;0
Juli;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;STD;;;0
Juli;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;TBC/PARU;;;0
Juli;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;UMUM;164;635;799
Juli;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;VCT;;;0
Juli;Surabaya Barat;Tandes;Puskesmas Balongsari;BATRA;2;31;33
Juli;Surabaya Barat;Tandes;Puskesmas Balongsari;GIGI;31;208;239
Juli;Surabaya Barat;Tandes;Puskesmas Balongsari;GIZI;0;5;5
Juli;Surabaya Barat;Tandes;Puskesmas Balongsari;INSTALASI GAWAT DARURAT;10;3;13
Juli;Surabaya Barat;Tandes;Puskesmas Balongsari;KIA;92;451;543
Juli;Surabaya Barat;Tandes;Puskesmas Balongsari;LABORATORIUM;1;6;7
Juli;Surabaya Barat;Tandes;Puskesmas Balongsari;LANSIA;23;427;450
Juli;Surabaya Barat;Tandes;Puskesmas Balongsari;MATA;;;0
Juli;Surabaya Barat;Tandes;Puskesmas Balongsari;PKPR;0;1;1
Juli;Surabaya Barat;Tandes;Puskesmas Balongsari;Poli PCR-SWAB;;;0
Juli;Surabaya Barat;Tandes;Puskesmas Balongsari;PSIKOLOGI;7;46;53
Juli;Surabaya Barat;Tandes;Puskesmas Balongsari;PTRM;;;0
Juli;Surabaya Barat;Tandes;Puskesmas Balongsari;RAWAT INAP;1;5;6
Juli;Surabaya Barat;Tandes;Puskesmas Balongsari;SANITASI;;;0
Juli;Surabaya Barat;Tandes;Puskesmas Balongsari;STD;;;0
Juli;Surabaya Barat;Tandes;Puskesmas Balongsari;TBC/PARU;0;80;80
Juli;Surabaya Barat;Tandes;Puskesmas Balongsari;UMUM;248;947;1195
Juli;Surabaya Barat;Tandes;Puskesmas Balongsari;VCT;;;0
Juli;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;BATRA;5;26;31
Juli;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;GIGI;39;230;269
Juli;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;GIZI;7;20;27
Juli;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;INSTALASI GAWAT DARURAT;;;0
Juli;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;KIA;62;301;363
Juli;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;LABORATORIUM;;;0
Juli;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;LANSIA;13;156;169
Juli;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;MATA;;;0
Juli;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;PKPR;;;0
Juli;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Poli PCR-SWAB;;;0
Juli;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;PSIKOLOGI;7;21;28
Juli;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;PTRM;;;0
Juli;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;RAWAT INAP;;;0
Juli;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;SANITASI;2;8;10
Juli;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;STD;;;0
Juli;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;TBC/PARU;;;0
Juli;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;UMUM;137;769;906
Juli;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;VCT;;;0
Juli;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;BATRA;2;6;8
Juli;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;GIGI;50;285;335
Juli;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;GIZI;;;0
Juli;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;INSTALASI GAWAT DARURAT;1;1;2
Juli;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;KIA;124;843;967
Juli;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;LABORATORIUM;;;0
Juli;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;LANSIA;;;0
Juli;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;MATA;;;0
Juli;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;PKPR;35;36;71
Juli;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Poli PCR-SWAB;;;0
Juli;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;PSIKOLOGI;3;17;20
Juli;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;PTRM;;;0
Juli;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;RAWAT INAP;;;0
Juli;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;SANITASI;;;0
Juli;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;STD;;;0
Juli;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;TBC/PARU;26;230;256
Juli;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;UMUM;331;2451;2782
Juli;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;VCT;;;0
Juli;Surabaya Barat;Pakal;Puskesmas Benowo;BATRA;1;8;9
Juli;Surabaya Barat;Pakal;Puskesmas Benowo;GIGI;93;515;608
Juli;Surabaya Barat;Pakal;Puskesmas Benowo;GIZI;34;50;84
Juli;Surabaya Barat;Pakal;Puskesmas Benowo;INSTALASI GAWAT DARURAT;;;0
Juli;Surabaya Barat;Pakal;Puskesmas Benowo;KIA;161;702;863
Juli;Surabaya Barat;Pakal;Puskesmas Benowo;LABORATORIUM;2;0;2
Juli;Surabaya Barat;Pakal;Puskesmas Benowo;LANSIA;13;506;519
Juli;Surabaya Barat;Pakal;Puskesmas Benowo;MATA;;;0
Juli;Surabaya Barat;Pakal;Puskesmas Benowo;PKPR;;;0
Juli;Surabaya Barat;Pakal;Puskesmas Benowo;Poli PCR-SWAB;;;0
Juli;Surabaya Barat;Pakal;Puskesmas Benowo;PSIKOLOGI;2;6;8
Juli;Surabaya Barat;Pakal;Puskesmas Benowo;PTRM;;;0
Juli;Surabaya Barat;Pakal;Puskesmas Benowo;RAWAT INAP;;;0
Juli;Surabaya Barat;Pakal;Puskesmas Benowo;SANITASI;;;0
Juli;Surabaya Barat;Pakal;Puskesmas Benowo;STD;;;0
Juli;Surabaya Barat;Pakal;Puskesmas Benowo;TBC/PARU;;;0
Juli;Surabaya Barat;Pakal;Puskesmas Benowo;UMUM;316;1495;1811
Juli;Surabaya Barat;Pakal;Puskesmas Benowo;VCT;;;0
Juli;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;BATRA;;;0
Juli;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;GIGI;56;476;532
Juli;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;GIZI;2;16;18
Juli;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;INSTALASI GAWAT DARURAT;3;0;3
Juli;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;KIA;131;462;593
Juli;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;LABORATORIUM;;;0
Juli;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;LANSIA;10;229;239
Juli;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;MATA;;;0
Juli;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;PKPR;;;0
Juli;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Poli PCR-SWAB;;;0
Juli;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;PSIKOLOGI;1;11;12
Juli;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;PTRM;;;0
Juli;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;RAWAT INAP;;;0
Juli;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;SANITASI;;;0
Juli;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;STD;;;0
Juli;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;TBC/PARU;;;0
Juli;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;UMUM;210;1119;1329
Juli;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;VCT;;;0
Juli;Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;BATRA;0;6;6
Juli;Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;GIGI;25;141;166
Juli;Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;GIZI;;;0
Juli;Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;INSTALASI GAWAT DARURAT;2;3;5
