Periode;Wilayah;Kecamatan;Nama Puskesmas;Poli;Baru;Lama;Total Kunjungan
Juni;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;BATRA;0;11;11
Juni;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;GIGI;51;253;304
Juni;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;GIZI;0;2;2
Juni;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;INSTALASI GAWAT DARURAT;;;0
Juni;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;KIA;170;511;681
Juni;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;LABORATORIUM;;;0
Juni;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;LANSIA;;;0
Juni;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;MATA;;;0
Juni;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;PKPR;;;0
Juni;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Poli PCR-SWAB;;;0
Juni;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;PSIKOLOGI;1;7;8
Juni;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;PTRM;;;0
Juni;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;RAWAT INAP;;;0
Juni;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;SANITASI;;;0
Juni;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;STD;;;0
Juni;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;TBC/PARU;;;0
Juni;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;UMUM;183;1651;1834
Juni;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;VCT;;;0
Juni;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;BATRA;3;27;30
Juni;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;GIGI;31;150;181
Juni;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;GIZI;1;8;9
Juni;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;INSTALASI GAWAT DARURAT;;;0
Juni;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;KIA;52;221;273
Juni;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;LABORATORIUM;;;0
Juni;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;LANSIA;7;233;240
Juni;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;MATA;;;0
Juni;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;PKPR;;;0
