Periode;Wilayah;Kecamatan;Nama Puskesmas;Poli;Baru;Lama;Total Kunjungan
Mei;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;BATRA;0;3;3
Mei;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;GIGI;26;196;222
Mei;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;GIZI;0;2;2
Mei;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;INSTALASI GAWAT DARURAT;;;0
Mei;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;KIA;116;364;480
Mei;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;LABORATORIUM;;;0
Mei;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;LANSIA;;;0
Mei;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;MATA;;;0
Mei;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;PKPR;;;0
Mei;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Poli PCR-SWAB;;;0
Mei;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;PSIKOLOGI;0;2;2
Mei;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;PTRM;;;0
Mei;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;RAWAT INAP;;;0
Mei;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;SANITASI;;;0
Mei;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;STD;;;0
Mei;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;TBC/PARU;;;0
Mei;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;UMUM;119;1364;1483
Mei;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;VCT;;;0
Mei;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;BATRA;0;10;10
Mei;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;GIGI;23;154;177
Mei;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;GIZI;1;14;15
Mei;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;INSTALASI GAWAT DARURAT;;;0
Mei;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;KIA;37;188;225
Mei;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;LABORATORIUM;;;0
Mei;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;LANSIA;5;215;220
Mei;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;MATA;;;0
Mei;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;PKPR;;;0
Mei;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Poli PCR-SWAB;;;0
Mei;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;PSIKOLOGI;;;0
Mei;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;PTRM;;;0
Mei;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;RAWAT INAP;;;0
Mei;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;SANITASI;0;2;2
Mei;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;STD;;;0
Mei;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;TBC/PARU;;;0
Mei;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;UMUM;86;453;539
Mei;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;VCT;;;0
Mei;Surabaya Barat;Tandes;Puskesmas Balongsari;BATRA;2;14;16
Mei;Surabaya Barat;Tandes;Puskesmas Balongsari;GIGI;31;220;251
Mei;Surabaya Barat;Tandes;Puskesmas Balongsari;GIZI;1;4;5
Mei;Surabaya Barat;Tandes;Puskesmas Balongsari;INSTALASI GAWAT DARURAT;5;4;9
Mei;Surabaya Barat;Tandes;Puskesmas Balongsari;KIA;96;421;517
Mei;Surabaya Barat;Tandes;Puskesmas Balongsari;LABORATORIUM;0;1;1
Mei;Surabaya Barat;Tandes;Puskesmas Balongsari;LANSIA;11;453;464
Mei;Surabaya Barat;Tandes;Puskesmas Balongsari;MATA;;;0
Mei;Surabaya Barat;Tandes;Puskesmas Balongsari;PKPR;;;0
Mei;Surabaya Barat;Tandes;Puskesmas Balongsari;Poli PCR-SWAB;;;0
Mei;Surabaya Barat;Tandes;Puskesmas Balongsari;PSIKOLOGI;4;22;26
Mei;Surabaya Barat;Tandes;Puskesmas Balongsari;PTRM;;;0
Mei;Surabaya Barat;Tandes;Puskesmas Balongsari;RAWAT INAP;1;4;5
Mei;Surabaya Barat;Tandes;Puskesmas Balongsari;SANITASI;;;0
Mei;Surabaya Barat;Tandes;Puskesmas Balongsari;STD;;;0
Mei;Surabaya Barat;Tandes;Puskesmas Balongsari;TBC/PARU;0;56;56
Mei;Surabaya Barat;Tandes;Puskesmas Balongsari;UMUM;169;961;1130
Mei;Surabaya Barat;Tandes;Puskesmas Balongsari;VCT;;;0
Mei;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;BATRA;1;8;9
Mei;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;GIGI;17;160;177
Mei;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;GIZI;1;3;4
Mei;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;INSTALASI GAWAT DARURAT;;;0
Mei;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;KIA;47;282;329
Mei;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;LABORATORIUM;;;0
Mei;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;LANSIA;4;154;158
Mei;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;MATA;;;0
Mei;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;PKPR;;;0
Mei;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Poli PCR-SWAB;;;0
Mei;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;PSIKOLOGI;0;3;3
Mei;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;PTRM;;;0
Mei;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;RAWAT INAP;;;0
Mei;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;SANITASI;;;0
Mei;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;STD;;;0
Mei;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;TBC/PARU;;;0
Mei;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;UMUM;58;708;766
Mei;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;VCT;;;0
Mei;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;BATRA;;;0
Mei;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;GIGI;27;238;265
Mei;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;GIZI;;;0
Mei;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;INSTALASI GAWAT DARURAT;9;9;18
Mei;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;KIA;153;687;840
Mei;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;LABORATORIUM;;;0
Mei;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;LANSIA;1;27;28
Mei;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;MATA;;;0
Mei;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;PKPR;67;45;112
Mei;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Poli PCR-SWAB;;;0
Mei;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;PSIKOLOGI;0;7;7
Mei;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;PTRM;;;0
Mei;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;RAWAT INAP;;;0
Mei;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;SANITASI;;;0
Mei;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;STD;;;0
Mei;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;TBC/PARU;28;266;294
Mei;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;UMUM;280;2115;2395
Mei;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;VCT;;;0
Mei;Surabaya Barat;Pakal;Puskesmas Benowo;BATRA;0;5;5
Mei;Surabaya Barat;Pakal;Puskesmas Benowo;GIGI;63;405;468
Mei;Surabaya Barat;Pakal;Puskesmas Benowo;GIZI;19;44;63
Mei;Surabaya Barat;Pakal;Puskesmas Benowo;INSTALASI GAWAT DARURAT;;;0
Mei;Surabaya Barat;Pakal;Puskesmas Benowo;KIA;147;709;856
Mei;Surabaya Barat;Pakal;Puskesmas Benowo;LABORATORIUM;;;0
Mei;Surabaya Barat;Pakal;Puskesmas Benowo;LANSIA;12;515;527
Mei;Surabaya Barat;Pakal;Puskesmas Benowo;MATA;;;0
Mei;Surabaya Barat;Pakal;Puskesmas Benowo;PKPR;;;0
Mei;Surabaya Barat;Pakal;Puskesmas Benowo;Poli PCR-SWAB;;;0
Mei;Surabaya Barat;Pakal;Puskesmas Benowo;PSIKOLOGI;2;2;4
Mei;Surabaya Barat;Pakal;Puskesmas Benowo;PTRM;;;0
Mei;Surabaya Barat;Pakal;Puskesmas Benowo;RAWAT INAP;;;0
Mei;Surabaya Barat;Pakal;Puskesmas Benowo;SANITASI;;;0
Mei;Surabaya Barat;Pakal;Puskesmas Benowo;STD;;;0
Mei;Surabaya Barat;Pakal;Puskesmas Benowo;TBC/PARU;;;0
Mei;Surabaya Barat;Pakal;Puskesmas Benowo;UMUM;134;1363;1497
Mei;Surabaya Barat;Pakal;Puskesmas Benowo;VCT;;;0
Mei;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;BATRA;3;13;16
Mei;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;GIGI;34;260;294
Mei;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;GIZI;4;12;16
Mei;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;INSTALASI GAWAT DARURAT;;;0
Mei;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;KIA;86;364;450
Mei;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;LABORATORIUM;;;0
Mei;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;LANSIA;11;198;209
Mei;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;MATA;;;0
Mei;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;PKPR;;;0
Mei;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Poli PCR-SWAB;;;0
Mei;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;PSIKOLOGI;3;3;6
Mei;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;PTRM;;;0
Mei;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;RAWAT INAP;;;0
