Periode;Wilayah;Kecamatan;Nama Puskesmas;Poli;Baru;Lama;Total Kunjungan
September;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;BATRA;0;9;9
September;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;GIGI;57;255;312
September;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;GIZI;1;7;8
September;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;INSTALASI GAWAT DARURAT;;;0
September;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;KIA;170;545;715
September;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;LABORATORIUM;;;0
September;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;LANSIA;;;0
September;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;MATA;;;0
September;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;PKPR;;;0
September;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Poli PCR-SWAB;;;0
September;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;PSIKOLOGI;0;7;7
September;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;PTRM;;;0
September;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;RAWAT INAP;;;0
September;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;SANITASI;0;1;1
September;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;STD;;;0
September;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;TBC/PARU;;;0
September;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;UMUM;244;1872;2116
September;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;VCT;;;0
September;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;BATRA;6;80;86
September;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;GIGI;49;206;255
September;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;GIZI;0;3;3
September;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;INSTALASI GAWAT DARURAT;;;0
September;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;KIA;84;239;323
September;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;LABORATORIUM;1;10;11
September;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;LANSIA;12;243;255
September;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;MATA;;;0
September;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;PKPR;;;0
September;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Poli PCR-SWAB;;;0
September;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;PSIKOLOGI;0;3;3
September;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;PTRM;;;0
September;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;RAWAT INAP;;;0
September;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;SANITASI;;;0
September;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;STD;;;0
September;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;TBC/PARU;;;0
September;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;UMUM;216;804;1020
September;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;VCT;;;0
September;Surabaya Barat;Tandes;Puskesmas Balongsari;BATRA;2;22;24
September;Surabaya Barat;Tandes;Puskesmas Balongsari;GIGI;33;366;399
September;Surabaya Barat;Tandes;Puskesmas Balongsari;GIZI;1;8;9
September;Surabaya Barat;Tandes;Puskesmas Balongsari;INSTALASI GAWAT DARURAT;7;3;10
September;Surabaya Barat;Tandes;Puskesmas Balongsari;KIA;140;556;696
September;Surabaya Barat;Tandes;Puskesmas Balongsari;LABORATORIUM;1;13;14
September;Surabaya Barat;Tandes;Puskesmas Balongsari;LANSIA;6;495;501
September;Surabaya Barat;Tandes;Puskesmas Balongsari;MATA;;;0
September;Surabaya Barat;Tandes;Puskesmas Balongsari;PKPR;;;0
September;Surabaya Barat;Tandes;Puskesmas Balongsari;Poli PCR-SWAB;;;0
September;Surabaya Barat;Tandes;Puskesmas Balongsari;PSIKOLOGI;11;29;40
September;Surabaya Barat;Tandes;Puskesmas Balongsari;PTRM;;;0
September;Surabaya Barat;Tandes;Puskesmas Balongsari;RAWAT INAP;1;6;7
September;Surabaya Barat;Tandes;Puskesmas Balongsari;SANITASI;0;1;1
September;Surabaya Barat;Tandes;Puskesmas Balongsari;STD;;;0
September;Surabaya Barat;Tandes;Puskesmas Balongsari;TBC/PARU;2;99;101
September;Surabaya Barat;Tandes;Puskesmas Balongsari;UMUM;255;1267;1522
September;Surabaya Barat;Tandes;Puskesmas Balongsari;VCT;;;0
September;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;BATRA;0;11;11
September;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;GIGI;28;250;278
September;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;GIZI;5;14;19
September;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;INSTALASI GAWAT DARURAT;;;0
September;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;KIA;70;429;499
September;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;LABORATORIUM;;;0
September;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;LANSIA;4;182;186
September;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;MATA;;;0
