Periode;Wilayah;Kecamatan;Nama Puskesmas;Poli;Baru;Lama;Total Kunjungan
November;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;BATRA;1;11;12
November;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;GIGI;64;365;429
November;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;GIZI;0;9;9
November;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;INSTALASI GAWAT DARURAT;1;1;2
November;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;KIA;153;607;760
November;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;LABORATORIUM;;;0
November;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;LANSIA;;;0
November;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;MATA;;;0
November;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;PKPR;;;0
November;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Poli PCR-SWAB;;;0
November;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;PSIKOLOGI;1;9;10
November;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;PTRM;;;0
November;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;RAWAT INAP;;;0
November;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;SANITASI;0;2;2
November;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;STD;;;0
November;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;TBC/PARU;;;0
November;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;UMUM;293;1995;2288
November;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;VCT;;;0
November;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;BATRA;2;59;61
November;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;GIGI;29;223;252
November;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;GIZI;2;4;6
November;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;INSTALASI GAWAT DARURAT;;;0
November;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;KIA;71;311;382
November;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;LABORATORIUM;1;6;7
November;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;LANSIA;15;256;271
November;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;MATA;;;0
November;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;PKPR;;;0
November;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Poli PCR-SWAB;;;0
November;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;PSIKOLOGI;3;10;13
November;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;PTRM;;;0
November;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;RAWAT INAP;;;0
November;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;SANITASI;1;4;5
November;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;STD;;;0
November;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;TBC/PARU;;;0
November;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;UMUM;181;854;1035
