Periode;Wilayah;Kecamatan;Nama Puskesmas;Poli;Baru;Lama;Total Kunjungan
Oktober;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;BATRA;15;15;30
Oktober;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;GIGI;324;324;648
Oktober;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;GIZI;7;7;14
Oktober;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;INSTALASI GAWAT DARURAT;;;0
Oktober;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;KIA;559;559;1118
Oktober;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;LABORATORIUM;;;0
Oktober;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;LANSIA;;;0
Oktober;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;MATA;;;0
Oktober;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;PKPR;;;0
Oktober;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Poli PCR-SWAB;;;0
Oktober;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;PSIKOLOGI;15;15;30
Oktober;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;PTRM;;;0
Oktober;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;RAWAT INAP;;;0
Oktober;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;SANITASI;4;4;8
Oktober;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;STD;;;0
Oktober;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;TBC/PARU;;;0
Oktober;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;UMUM;2106;2106;4212
Oktober;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;VCT;;;0
Oktober;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;BATRA;50;50;100
Oktober;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;GIGI;209;209;418
Oktober;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;GIZI;6;6;12
Oktober;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;INSTALASI GAWAT DARURAT;;;0
Oktober;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;KIA;260;260;520
Oktober;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;LABORATORIUM;6;6;12
Oktober;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;LANSIA;261;261;522
Oktober;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;MATA;;;0
Oktober;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;PKPR;;;0
Oktober;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Poli PCR-SWAB;;;0
Oktober;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;PSIKOLOGI;7;7;14
Oktober;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;PTRM;;;0
Oktober;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;RAWAT INAP;;;0
Oktober;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;SANITASI;;;0
Oktober;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;STD;;;0
Oktober;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;TBC/PARU;;;0
Oktober;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;UMUM;723;723;1446
Oktober;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;VCT;;;0
Oktober;Surabaya Barat;Tandes;Puskesmas Balongsari;BATRA;26;26;52
Oktober;Surabaya Barat;Tandes;Puskesmas Balongsari;GIGI;341;341;682
Oktober;Surabaya Barat;Tandes;Puskesmas Balongsari;GIZI;7;7;14
Oktober;Surabaya Barat;Tandes;Puskesmas Balongsari;INSTALASI GAWAT DARURAT;4;4;8
Oktober;Surabaya Barat;Tandes;Puskesmas Balongsari;KIA;687;687;1374
Oktober;Surabaya Barat;Tandes;Puskesmas Balongsari;LABORATORIUM;4;4;8
Oktober;Surabaya Barat;Tandes;Puskesmas Balongsari;LANSIA;517;517;1034
Oktober;Surabaya Barat;Tandes;Puskesmas Balongsari;MATA;;;0
Oktober;Surabaya Barat;Tandes;Puskesmas Balongsari;PKPR;;;0
Oktober;Surabaya Barat;Tandes;Puskesmas Balongsari;Poli PCR-SWAB;;;0
Oktober;Surabaya Barat;Tandes;Puskesmas Balongsari;PSIKOLOGI;29;29;58
Oktober;Surabaya Barat;Tandes;Puskesmas Balongsari;PTRM;;;0
Oktober;Surabaya Barat;Tandes;Puskesmas Balongsari;RAWAT INAP;2;2;4
Oktober;Surabaya Barat;Tandes;Puskesmas Balongsari;SANITASI;;;0
Oktober;Surabaya Barat;Tandes;Puskesmas Balongsari;STD;;;0
Oktober;Surabaya Barat;Tandes;Puskesmas Balongsari;TBC/PARU;;;0
Oktober;Surabaya Barat;Tandes;Puskesmas Balongsari;UMUM;1390;1390;2780
Oktober;Surabaya Barat;Tandes;Puskesmas Balongsari;VCT;;;0
Oktober;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;BATRA;30;30;60
Oktober;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;GIGI;286;286;572
Oktober;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;GIZI;23;23;46
Oktober;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;INSTALASI GAWAT DARURAT;;;0
Oktober;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;KIA;469;469;938
Oktober;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;LABORATORIUM;;;0
Oktober;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;LANSIA;180;180;360
Oktober;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;MATA;;;0
Oktober;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;PKPR;;;0
Oktober;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Poli PCR-SWAB;;;0
Oktober;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;PSIKOLOGI;24;24;48
Oktober;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;PTRM;;;0
Oktober;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;RAWAT INAP;;;0
Oktober;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;SANITASI;;;0
Oktober;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;STD;;;0
Oktober;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;TBC/PARU;;;0
Oktober;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;UMUM;1101;1101;2202
Oktober;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;VCT;;;0
Oktober;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;BATRA;9;9;18
Oktober;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;GIGI;386;386;772
Oktober;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;GIZI;;;0
Oktober;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;INSTALASI GAWAT DARURAT;7;7;14
Oktober;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;KIA;471;471;942
Oktober;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;LABORATORIUM;;;0
Oktober;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;LANSIA;;;0
Oktober;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;MATA;;;0
Oktober;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;PKPR;33;33;66
Oktober;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Poli PCR-SWAB;;;0
Oktober;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;PSIKOLOGI;6;6;12
Oktober;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;PTRM;;;0
Oktober;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;RAWAT INAP;;;0
Oktober;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;SANITASI;;;0
Oktober;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;STD;;;0
Oktober;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;TBC/PARU;;;0
Oktober;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;UMUM;2687;2687;5374
Oktober;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;VCT;;;0
Oktober;Surabaya Barat;Pakal;Puskesmas Benowo;BATRA;11;11;22
Oktober;Surabaya Barat;Pakal;Puskesmas Benowo;GIGI;447;447;894
Oktober;Surabaya Barat;Pakal;Puskesmas Benowo;GIZI;38;38;76
Oktober;Surabaya Barat;Pakal;Puskesmas Benowo;INSTALASI GAWAT DARURAT;;;0
Oktober;Surabaya Barat;Pakal;Puskesmas Benowo;KIA;930;930;1860
Oktober;Surabaya Barat;Pakal;Puskesmas Benowo;LABORATORIUM;;;0
Oktober;Surabaya Barat;Pakal;Puskesmas Benowo;LANSIA;643;643;1286
Oktober;Surabaya Barat;Pakal;Puskesmas Benowo;MATA;;;0
Oktober;Surabaya Barat;Pakal;Puskesmas Benowo;PKPR;;;0
Oktober;Surabaya Barat;Pakal;Puskesmas Benowo;Poli PCR-SWAB;;;0
Oktober;Surabaya Barat;Pakal;Puskesmas Benowo;PSIKOLOGI;10;10;20
Oktober;Surabaya Barat;Pakal;Puskesmas Benowo;PTRM;;;0
Oktober;Surabaya Barat;Pakal;Puskesmas Benowo;RAWAT INAP;;;0
Oktober;Surabaya Barat;Pakal;Puskesmas Benowo;SANITASI;;;0
Oktober;Surabaya Barat;Pakal;Puskesmas Benowo;STD;;;0
Oktober;Surabaya Barat;Pakal;Puskesmas Benowo;TBC/PARU;;;0
Oktober;Surabaya Barat;Pakal;Puskesmas Benowo;UMUM;1821;1821;3642
Oktober;Surabaya Barat;Pakal;Puskesmas Benowo;VCT;;;0
